$p$,$r$,$N$,data,error
0.0,0.53,300,100.0,0.0
0.0,0.53,336,112.0,0.0
0.0,0.53,372,124.0,0.0
0.0,0.53,408,136.0,0.0
0.0,0.53,492,164.0,0.0
0.0,0.53,600,200.0,0.0
0.0,0.54,60,19.99835,0.0004953557183769807
0.0,0.54,72,23.99924161503952,0.0002647902037766573
0.0,0.54,84,27.999903096750973,8.420355636195921e-05
0.0,0.54,108,36.0,0.0
0.0,0.54,132,44.0,0.0
0.0,0.54,168,56.0,0.0
0.0,0.54,192,64.0,0.0
0.0,0.54,204,68.0,0.0
0.0,0.54,228,76.0,0.0
0.0,0.54,252,84.0,0.0
0.0,0.54,288,96.0,0.0
0.0,0.54,300,100.0,0.0
0.0,0.54,336,112.0,0.0
0.0,0.54,372,124.0,0.0
0.0,0.54,408,136.0,0.0
0.0,0.54,492,164.0,0.0
0.0,0.54,600,200.0,0.0
0.0,0.55,60,19.9983375,0.0004929798802093564
0.0,0.55,72,23.99969023712882,0.00019780840495360727
0.0,0.55,84,27.99997231335742,0.00013133883285326308
0.0,0.55,108,36.0,0.0
0.0,0.55,132,44.0,0.0
0.0,0.55,168,56.0,0.0
0.0,0.55,192,64.0,0.0
0.0,0.55,204,68.0,0.0
0.0,0.55,228,76.0,0.0
0.0,0.55,252,84.0,0.0
0.0,0.55,288,96.0,0.0
0.0,0.55,300,100.0,0.0
0.0,0.55,336,112.0,0.0
0.0,0.55,372,124.0,0.0
0.0,0.55,408,136.0,0.0
0.0,0.55,492,164.0,0.0
0.0,0.55,600,200.0,0.0
0.0,0.56,60,19.99835,0.0004694409307663208
0.0,0.56,72,23.999572740867336,0.00021730267389547488
0.0,0.56,84,28.0,0.0001384437541652825
0.0,0.56,108,36.0,0.0
0.0,0.56,132,44.0,0.0
0.0,0.56,168,56.0,0.0
0.0,0.56,192,64.0,0.0
0.0,0.56,204,68.0,0.0
0.0,0.56,228,76.0,0.0
0.0,0.56,252,84.0,0.0
0.0,0.56,288,96.0,0.0
0.0,0.56,300,100.0,0.0
0.0,0.56,336,112.0,0.0
0.0,0.56,372,124.0,0.0
0.0,0.56,408,136.0,0.0
0.0,0.56,492,164.0,0.0
0.0,0.56,600,200.0,0.0
0.0,0.57,60,19.9975875,0.0005051977403459805
0.0,0.57,72,23.99953001495407,0.00028896733037656654
0.0,0.57,84,28.0,0.00010173496673407636
0.0,0.57,108,35.99998016974697,1.9830253034028245e-05
0.0,0.57,132,44.0,0.0
0.0,0.57,168,56.0,0.0
0.0,0.57,192,64.0,0.0
0.0,0.57,204,68.0,0.0
0.0,0.57,228,76.0,0.0
0.0,0.57,252,84.0,0.0
0.0,0.57,288,96.0,0.0
0.0,0.57,300,100.0,0.0
0.0,0.57,336,112.0,0.0
0.0,0.57,372,124.0,0.0
0.0,0.57,408,136.0,0.0
0.0,0.57,492,164.0,0.0
0.0,0.57,600,200.0,0.0
0.0,0.58,60,19.9980625,0.000533675313565308
0.0,0.58,72,23.999775688955353,0.00019374094564378032
0.0,0.58,84,28.000124589891605,0.00011827640189489337
0.0,0.58,108,35.99998016974697,1.9830253034028245e-05
0.0,0.58,132,44.0,0.0
0.0,0.58,168,56.0,0.0
0.0,0.58,192,64.0,0.0
0.0,0.58,204,68.0,0.0
0.0,0.58,228,76.0,0.0
0.0,0.58,252,84.0,0.0
0.0,0.58,288,96.0,0.0
0.0,0.58,300,100.0,0.0
0.0,0.58,336,112.0,0.0
0.0,0.58,372,124.0,0.0
0.0,0.58,408,136.0,0.0
0.0,0.58,492,164.0,0.0
0.0,0.58,600,200.0,0.0
0.0,0.59,60,19.9987,0.0004442417529606009
0.0,0.59,72,23.999455244605855,0.0002502250671847366
0.0,0.59,84,28.00002768664258,6.493497770417073e-05
0.0,0.59,108,36.0,0.0
